Player_Name,Year,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Abdul Samad,2025,13,4,164,45,20.5,93,176.34,0,0,8,14,4,0,13,2,6,0,0/6,0,18,0,0,0
Abdul Samad,2024,16,2,182,37*,18.2,108,168.52,0,0,15,11,9,0,16,0,0,0,0,0,0,0,0,0
Abdul Samad,2023,9,4,169,37*,42.25,128,132.03,0,0,10,11,4,0,9,0,0,0,0,0,0,0,0,0
Abdul Samad,2022,2,0,4,4,2,7,57.14,0,0,0,0,1,0,2,6,8,0,0/8,0,8,0,0,0
Abdul Samad,2021,11,1,111,28,12.33,87,127.58,0,0,4,8,8,0,11,6,9,1,01-Sep,9,9,6,0,0
Abdul Samad,2020,12,3,111,33,22.2,65,170.76,0,0,8,6,5,0,12,42,96,1,Jan-41,96,13.71,42,0,0
Abhinandan Singh,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Abhishek Sharma,2025,14,0,439,141,33.77,227,193.39,1,2,46,28,8,0,14,66,112,0,0/5,0,10.18,0,0,0
Abhishek Sharma,2024,16,1,484,75*,32.27,237,204.22,0,3,36,42,7,0,16,42,51,2,Feb-24,25.5,7.29,21,0,0
Abhishek Sharma,2023,11,0,226,67,20.55,157,143.95,0,2,28,6,4,0,11,72,124,2,Jan-26,62,10.33,36,0,0
Abhishek Sharma,2022,14,0,426,75,30.43,320,133.13,0,2,47,13,1,0,14,24,38,0,0/10,0,9.5,0,0,0
Abhishek Sharma,2021,8,1,98,33,16.33,75,130.66,0,0,7,4,2,0,8,60,64,4,02-Apr,16,6.4,15,0,0
Abhishek Sharma,2020,8,2,71,31,14.2,56,126.78,0,0,6,3,1,0,8,60,91,2,Jan-15,45.5,9.1,30,0,0
Abhishek Sharma,2019,3,1,9,5*,4.5,9,100,0,0,1,0,2,0,3,12,21,1,01-Oct,21,10.5,12,0,0
Abhishek Sharma,2018,3,2,63,46*,63,33,190.9,0,0,3,5,1,0,3,0,0,0,0,0,0,0,0,0
Abishek Porel,2025,13,1,301,51,25.08,205,146.83,0,1,28,12,3,0,13,0,0,0,0,0,0,0,0,0
Abishek Porel,2024,14,2,327,65,32.7,205,159.51,0,2,36,13,2,0,14,0,0,0,0,0,0,0,0,0
Abishek Porel,2023,4,0,33,20,8.25,31,106.45,0,0,1,2,4,0,4,0,0,0,0,0,0,0,0,0
Adam Milne,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,19,0,0/19,0,7.6,0,0,0
Adam Milne,2021,4,1,16,15,8,17,94.11,0,0,0,1,2,0,4,84,131,3,Feb-21,43.66,9.35,28,0,0
Adam Milne,2017,4,1,7,5,3.5,12,58.33,0,0,0,0,4,0,4,84,134,3,Feb-27,44.66,9.57,28,0,0
Adam Milne,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,1,24,43,1,0,43,10.75,24,0,0
Aiden Markram,2025,13,0,445,66,34.23,299,148.83,0,5,38,22,7,0,13,66,102,4,Feb-30,25.5,9.27,16.5,0,0
Aiden Markram,2024,11,2,220,50,24.44,177,124.29,0,1,18,4,5,0,11,12,15,0,0/5,0,7.5,0,0,0
Aiden Markram,2023,13,2,248,50,22.55,197,125.89,0,1,18,8,11,0,13,49,70,1,Jan-24,70,8.57,49,0,0
Aiden Markram,2022,14,4,381,68*,47.63,274,139.05,0,3,25,19,6,0,14,36,64,1,01-Aug,64,10.67,36,0,0
Aiden Markram,2021,6,1,146,42,29.2,119,122.68,0,0,12,4,3,0,6,24,23,0,0/5,0,5.75,0,0,0
Ajay Mandal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Ajinkya Rahane,2025,13,1,390,61,35.45,264,147.73,0,3,36,20,5,0,13,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2024,13,0,242,45,20.17,196,123.47,0,0,23,7,1,0,13,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2023,14,1,326,71*,32.6,189,172.49,0,2,24,16,8,0,14,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2022,7,0,133,44,19,128,103.91,0,0,14,4,3,0,7,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2021,2,0,8,8,8,8,100,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2020,9,0,113,60,14.12,107,105.6,0,1,12,2,4,0,9,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2019,14,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,14,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2018,15,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,15,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2017,16,1,382,60,25.46,323,118.26,0,2,35,9,7,0,16,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2016,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,14,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2015,14,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,14,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2014,13,0,339,72,28.25,291,116.49,0,3,38,3,6,0,13,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2013,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,18,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2012,16,2,560,103*,40,433,129.33,1,3,73,10,11,0,16,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2011,10,1,120,52,20,98,122.44,0,1,12,2,1,0,10,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,2009,8,1,144,62*,24,123,117.07,0,2,12,3,1,0,8,6,5,1,01-May,5,5,6,0,0
Ajinkya Rahane,2008,2,0,4,4,2,17,23.52,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Akash Deep,2025,6,1,6,6*,6,2,300,0,0,0,1,0,0,6,114,229,3,Feb-55,76.33,12.05,38,0,0
Akash Deep,2024,1,1,2,2*,0,2,100,0,0,0,0,0,0,1,21,55,1,Jan-55,55,15.71,21,0,0
Akash Deep,2023,2,0,17,17,17,8,212.5,0,0,2,1,1,0,2,30,59,1,Jan-29,59,11.8,30,0,0
Akash Deep,2022,5,0,0,0,0,2,0,0,0,0,0,2,0,5,113,205,5,Mar-45,41,10.88,22.6,0,0
Akash Singh,2025,3,0,0,0,0,0,0,0,0,0,0,0,0,3,67,99,4,Feb-30,24.75,8.87,16.75,0,0
Akash Singh,2023,6,0,0,0,0,0,0,0,0,0,0,1,0,6,114,188,5,Feb-40,37.6,9.89,22.8,0,0
Akash Singh,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,39,0,0/39,0,9.75,0,0,0
